names.pvalb.,pvalb,permp
ENSG00000181404.15_65,0.000115920468890066,0.045
ENSG00000181404.15_66,5.4426153440283e-05,0.035
ENSG00000181404.15_67,3.00864673330609e-05,0.017
ENSG00000181404.15_68,8.01100373790478e-05,0.045
ENSG00000181404.15_69,3.7955080248761e-05,0.015
ENSG00000181404.15_70,9.28608944067819e-07,0
ENSG00000181404.15_71,3.05046354320847e-05,0.022
ENSG00000181404.15_72,0.000164111644846156,0.079
ENSG00000181404.15_73,2.89978930534882e-05,0.015
ENSG00000181404.15_74,0.000125597121352224,0.076
ENSG00000181404.15_75,2.10281906581586e-05,0.016
ENSG00000181404.15_76,0.000189181755665706,0.114
ENSG00000181404.15_77,0.000229272137892562,0.095
ENSG00000181404.15_78,0.00013142710666044,0.061
ENSG00000181404.15_79,0.000157228898098235,0.064
ENSG00000181404.15_80,0.000268970532853433,0.129
ENSG00000181404.15_81,0.000127682043822392,0.07
ENSG00000181404.15_82,0.000168295619310424,0.092
ENSG00000181404.15_83,0.000117948700818652,0.055
ENSG00000181404.15_84,0.00059024469660679,0.238
ENSG00000181404.15_85,4.51692184576439e-05,0.035
ENSG00000181404.15_86,0.000714356170137787,0.25
ENSG00000181404.15_87,0.000426534682920007,0.163
ENSG00000181404.15_88,0.000399657081459341,0.154
ENSG00000181404.15_89,0.000314327979929096,0.145
ENSG00000181404.15_90,5.27051750132088e-06,0.002
ENSG00000181404.15_91,7.96617588442987e-05,0.032
ENSG00000181404.15_92,0.00147705815084648,0.39
ENSG00000181404.15_93,0.00019018613824103,0.1
ENSG00000181404.15_94,0.000265588777665485,0.109
ENSG00000181404.15_95,0.00025676380738044,0.114
ENSG00000181404.15_96,0.000626293957241779,0.203
ENSG00000181404.15_97,0.000736075528258888,0.244
ENSG00000181404.15_98,0.000448137912314842,0.175
ENSG00000181404.15_99,9.39779955783516e-05,0.052
ENSG00000181404.15_100,9.71183217190713e-07,0
ENSG00000181404.15_101,4.50011374337085e-06,0.001
ENSG00000181404.15_102,1.91959828689712e-06,0.002
ENSG00000181404.15_103,7.51474541764893e-06,0.002
ENSG00000181404.15_104,7.96960738373996e-06,0.008
ENSG00000181404.15_105,1.19785689792051e-05,0.007
ENSG00000181404.15_106,9.41936849309027e-06,0.008
ENSG00000181404.15_107,1.88205898560339e-05,0.009
ENSG00000181404.15_108,2.28635236765026e-05,0.011
ENSG00000181404.15_109,4.9794685411156e-06,0.003
ENSG00000181404.15_110,2.7762276086952e-05,0.016
ENSG00000181404.15_111,7.66011177157008e-06,0.008
ENSG00000181404.15_112,5.22881933260676e-05,0.024
ENSG00000181404.15_113,5.62124741233017e-05,0.036
ENSG00000181404.15_114,2.59926718503974e-05,0.013
ENSG00000181404.15_115,4.95652591126015e-05,0.033
ENSG00000181404.15_116,5.14617684119003e-05,0.034
ENSG00000181404.15_117,1.34809702322465e-05,0.005
ENSG00000181404.15_118,2.27101830159231e-06,0.001
ENSG00000181404.15_119,3.3632047029061e-05,0.023
ENSG00000181404.15_120,7.00969919524134e-05,0.03
ENSG00000181404.15_121,8.61324745053302e-05,0.045
ENSG00000181404.15_122,6.01697798743947e-05,0.031
ENSG00000181404.15_123,1.50832610322063e-05,0.005
ENSG00000181404.15_124,7.22320336136107e-05,0.04
ENSG00000181404.15_125,3.599072422368e-05,0.024
ENSG00000181404.15_126,0.000140136278991947,0.056
ENSG00000181404.15_127,9.04428028023446e-05,0.044
ENSG00000181404.15_128,0.000133785586100922,0.048
ENSG00000181404.15_129,7.02039979788113e-05,0.039
ENSG00000181404.15_130,8.87707797225724e-05,0.056
ENSG00000181404.15_131,3.64692646117786e-05,0.02
ENSG00000181404.15_132,0.000137405237977348,0.066
ENSG00000181404.15_133,6.76820332129983e-05,0.039
ENSG00000181404.15_134,9.00008877017079e-05,0.056
ENSG00000181404.15_135,0.00013939827328114,0.073
ENSG00000181404.15_136,4.09798304434608e-05,0.022
ENSG00000181404.15_137,0.000217366342093682,0.109
ENSG00000181404.15_138,7.73210949342611e-05,0.033
ENSG00000181404.15_139,0.000311232287853166,0.147
ENSG00000181404.15_140,0.000261389111994546,0.113
ENSG00000181404.15_141,0.000123728303418087,0.067
ENSG00000181404.15_142,6.32382271121473e-05,0.028
ENSG00000181404.15_143,2.06063325143112e-05,0.014
ENSG00000181404.15_144,0.00028013285798896,0.122
ENSG00000181404.15_145,0.000270919185099362,0.132
ENSG00000181404.15_146,0.000498506655206992,0.186
ENSG00000181404.15_147,6.77040192802843e-05,0.048
ENSG00000181404.15_148,9.69008498434109e-05,0.048
ENSG00000181404.15_149,0.000152009434341789,0.068
ENSG00000181404.15_150,0.000426455134139482,0.166
ENSG00000181404.15_151,8.81295611933182e-05,0.047
ENSG00000181404.15_152,2.30009646742154e-05,0.017
ENSG00000181404.15_153,1.55144420507121e-05,0.008
ENSG00000181404.15_154,0.000273140925462055,0.116
