nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000139826.5,0.47664222,-0.02254654,0.680560606,0.709027335,0.709014257,1,0.755468644
ENSG00000102524.11,0.701457405,-0.023274488,0.561072378,0.712665955,0.713264582,0,0.756228059
ENSG00000165487.13,0.578936855,-0.022474387,0.099428214,0.220055242,0.2231393,0,0.544812793
ENSG00000283384.1,-2.40623515,0.160892553,0.57798788,0.48941257,0.492634276,0,0.692512847
ENSG00000185950.8,-0.221846413,0.007184142,0.560474845,0.720059774,0.721024493,0,0.759134214
ENSG00000134871.17,-1.173257923,0.071510029,0.465867501,0.390140839,0.38846135,0,0.645704013
ENSG00000139832.4,0.832113442,-0.021024645,0.070933438,0.383385283,0.384567169,0,0.644236559
ENSG00000213995.11,-0.424770179,0.034363993,0.462651281,0.250902389,0.256020496,0,0.565970004
ENSG00000134905.16,0.113601953,0.001198982,0.551096322,0.904475401,0.904475233,0,0.797054703
ENSG00000153487.12,-1.246329904,0.066575848,0.351381236,0.333301241,0.332979963,1,0.62091815
ENSG00000088448.14,-0.08649271,-0.001325553,0.810495795,0.943853448,0.943843389,0,0.80265067
ENSG00000229152.2,0.19514136,-0.023581701,0.746142806,0.445398463,0.447126421,0,0.673529635
ENSG00000102606.17,0.06152622,-0.009675714,0.863243395,0.597429822,0.597518498,0,0.726321984
ENSG00000126216.13,1.821029351,-0.084180036,1.59E-06,2.20E-05,3.82E-05,0,0.002426165
ENSG00000274922.1,0.300616091,-0.003416931,0.773219464,0.950751347,0.950694554,0,0.804070694
ENSG00000068650.18,-0.346585918,0.022066836,0.107968687,0.051554075,0.051550627,0,0.297869472
ENSG00000126217.20,-0.433218598,0.001501486,0.872640302,0.991205204,0.991150648,0,0.809394819
ENSG00000126226.21,-1.422547439,0.071605383,0.16341092,0.15751088,0.15716039,1,0.480158644
ENSG00000139842.14,-0.455548493,0.020034794,0.292796119,0.37319646,0.376622376,0,0.639780278
ENSG00000185896.10,0.788692488,-0.042585458,0.135295611,0.124008201,0.13085182,0,0.453099161
ENSG00000150401.14,-0.25421313,0.012043847,0.805409044,0.822810405,0.822928736,0,0.779638646
ENSG00000150403.17,-0.809937313,0.056185652,0.076512536,0.01978398,0.020169398,0,0.180816484
ENSG00000198176.12,0.035277516,-0.003405553,0.963457577,0.930691529,0.930707049,0,0.801012127
ENSG00000184497.12,0.292414407,-0.006008165,0.839752667,0.937457852,0.937200787,0,0.801409945
ENSG00000183087.14,0.565957744,-0.021576241,0.217691572,0.370146087,0.372285017,0,0.63901757
ENSG00000233695.2,-1.100927704,0.030308251,0.378291373,0.639406109,0.638903155,0,0.737802903
ENSG00000260910.1,3.049248009,-0.19168538,0.234016936,0.147650438,0.148414502,0,0.469385982
ENSG00000283199.1,0.591997476,-0.016642869,0.615422359,0.775807685,0.778163353,0,0.770346275
ENSG00000185989.10,-0.243690772,0.017642306,0.43061773,0.270117278,0.270604961,0,0.576611373
ENSG00000130177.14,-0.743064726,0.021034566,0.17890382,0.467993197,0.468336594,0,0.683504667
ENSG00000169062.14,-2.970938596,0.170334568,0.064071431,0.040908329,0.041830607,0,0.266053826
ENSG00000182957.15,0.493072523,-0.017648832,0.033098025,0.141035512,0.141086587,0,0.464785621
ENSG00000121390.18,0.328590023,-0.013993221,0.698201575,0.749181834,0.749041665,0,0.76528795
ENSG00000102699.5,0.561514756,-0.023170135,0.014707878,0.055499948,0.056085523,0,0.308023579
ENSG00000139505.11,0.346825391,-0.007766361,0.307089037,0.661588522,0.661469574,0,0.74384746
ENSG00000139496.15,-0.189959089,0.006233893,0.549707725,0.706456432,0.706457126,0,0.754381836
ENSG00000127870.16,0.15784492,-0.005190345,0.855334229,0.907656973,0.907657482,1,0.797458315
ENSG00000152484.13,1.379323294,-0.071381587,0.34359397,0.341410355,0.340933061,1,0.624222257
ENSG00000122026.10,0.333617582,0.003502706,0.842135937,0.968289808,0.967735398,0,0.806060513
ENSG00000122034.14,0.607414366,-0.024960253,0.106717143,0.207670845,0.207529073,0,0.531517681
ENSG00000122033.14,-0.733865875,0.033754162,0.190409371,0.248370455,0.253365563,0,0.563957222
ENSG00000139517.7,-1.60457381,0.060992575,0.389892853,0.522001148,0.529209921,0,0.706387698
ENSG00000186184.16,0.730532509,-0.026065183,0.000248219,0.01252071,0.013044486,0,0.139712457
ENSG00000122025.14,-0.482082024,0.015887677,0.601349082,0.743418752,0.7442107,0,0.764265394
ENSG00000132950.18,0.032767038,-0.006431234,0.949873494,0.81108807,0.81107685,0,0.777039729
ENSG00000152520.13,0.530696246,-0.024112292,0.192226978,0.250101559,0.251642599,0,0.56385122
ENSG00000139508.14,-0.229041012,0.003920643,0.428226018,0.798068086,0.799283974,0,0.774269167
ENSG00000139514.12,-0.639227238,0.041811694,0.671897331,0.584108396,0.583988483,1,0.723163783
ENSG00000122042.9,0.624454159,-0.037453501,0.220931095,0.159646976,0.160820785,0,0.484152239
ENSG00000102781.13,0.388074649,-0.013058187,0.863984188,0.908162322,0.908160987,1,0.797458315
ENSG00000238121.5,-0.075136082,-0.00987763,0.948733858,0.866834499,0.866323454,0,0.788663965
ENSG00000275964.1,-2.330405983,0.134769042,0.38386266,0.344585347,0.343943731,1,0.624575196
ENSG00000189403.14,0.167085926,-0.001767757,0.808586966,0.960648112,0.960690697,0,0.805208931
ENSG00000132952.11,-0.353105162,0.018142546,0.528101677,0.526198474,0.526177483,0,0.70501105
