nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000127412.6,1.47948068,-2.852604048,-0.061758378,0.083229575,-0.053002156,0.431820477,8.02E-07,0.811039422,0.401911147,0.689538784,0.687643487,0,0.778335466
ENSG00000165131.6,0.201831342,-3.242261318,0.04930074,0.036834924,0.027234921,0.889781077,1.68E-17,0.508817693,0.942155072,0.782359433,0.784505782,0,0.803003535
ENSG00000146574.15,0.254456343,-2.741514867,0.030907088,0.071058816,-0.010696287,0.678422057,3.96E-84,0.483373564,0.193210426,0.796196176,0.797075792,0,0.805904971
ENSG00000197993.7,1.36187063,-4.115791902,0.024670993,0.135933625,-0.08077856,0.364513522,1.19E-10,0.704043761,0.46582035,0.417717883,0.424308672,0,0.695905996
ENSG00000197448.13,-0.643543659,-3.790578581,-0.014458023,-0.709928386,0.066611222,0.529284991,1.90E-15,0.864667936,0.06105167,0.333105061,0.331022226,0,0.650666474
ENSG00000106144.19,-0.274922802,NA,-0.004965143,0.026550296,0.013708398,0.725530278,NA,0.902077846,0.300638986,0.7988751,0.798878234,1,0.806712069
ENSG00000188037.10,0.590322385,-1.978444451,-0.00183006,0.073836423,-0.117421006,0.81346278,8.03E-05,0.991951913,0.884082619,0.50291136,0.510632113,0,0.730537869
ENSG00000232533.1,1.043267903,-4.311964046,-0.070378415,-0.022460744,-0.041692437,0.086864291,1.51E-44,0.097164664,0.569895008,0.315364965,0.312941627,0,0.640141706
ENSG00000159840.15,-0.669609992,-3.561674896,-0.008383261,-0.019035591,0.033175283,0.065763427,2.09E-258,0.686574267,0.33497394,0.17425566,0.174539283,0,0.533704968
ENSG00000146904.8,0.969428435,-6.372048217,-0.030423428,0.014966209,-0.041104423,0.000786233,1.12E-10,0.19347565,0.57427797,0.03697836,0.038391695,0,0.289911038
ENSG00000237181.1,-1.705834298,-2.127802171,-0.272508915,-0.000529146,0.076869433,0.201662904,1.25E-32,8.18E-05,0.996558704,0.394883517,0.395618494,0,0.684894173
ENSG00000106392.10,0.909018371,-4.856227708,0.017297893,-0.017603138,-0.045104956,0.014892765,4.25E-42,0.532624908,0.406410505,0.075459723,0.078038389,0,0.39108946
ENSG00000229153.5,4.934296697,-1.28173516,-0.437365611,2.716313461,-0.429884752,0.322784022,0.010821411,0.069354776,0.006885977,0.197260317,0.263647871,0,0.610989308
ENSG00000170379.19,0.39668467,-4.208050687,-0.112676119,0.072530048,-0.016801026,0.315338962,2.23E-61,3.83E-06,0.022693399,0.532578387,0.533041068,0,0.740645068
ENSG00000196511.14,0.311487094,-3.454877922,-0.091260571,-0.042278737,-0.003632981,0.7806274,1.23E-10,0.221236476,0.654760205,0.96260084,0.962543774,0,0.833992893
ENSG00000055130.15,-1.570158048,NA,-0.069620685,0.052531612,0.095364454,0.373288602,NA,0.413745631,0.165617949,0.4161897,0.41505064,1,0.692006234
ENSG00000155660.10,-0.137749841,-6.200328587,0.035508983,-0.027139101,0.003661591,0.701666698,1.98E-17,0.0451892,0.635482484,0.876852848,0.876913837,0,0.819501555
ENSG00000197024.8,0.071180925,-4.48517497,-0.016918011,0.101325618,-0.013448743,0.926002712,5.90E-11,0.818287725,0.81244076,0.800007582,0.800156698,0,0.806712069
ENSG00000170265.11,-1.152100742,-4.550462314,0.035141895,0.146419801,0.061576126,0.029575299,1.95E-56,0.266843101,0.053456485,0.08277138,0.082983516,0,0.402378855
ENSG00000170260.8,-0.16248794,NA,-0.070893757,0.01201138,0.024103212,0.763941104,NA,0.341319561,0.707573673,0.501978686,0.501998655,1,0.72870085
ENSG00000204946.9,-0.359754437,-5.737312038,0.067241253,0.021663229,0.036249371,0.634651949,0.002928126,0.158889276,0.547335095,0.466139206,0.484058207,0,0.722406465
ENSG00000164654.15,0.683451355,NA,0.093031718,0.056556469,-0.045619606,0.320470994,NA,0.084568241,0.381341094,0.335017714,0.334732122,1,0.652593486
ENSG00000196453.7,1.010692057,-5.378398623,0.244684226,0.030406472,-0.078819954,0.244263686,0.000123364,0.003735927,0.840581044,0.169211996,0.172912128,0,0.531834701
ENSG00000181220.15,-0.023236025,NA,0.008702721,-0.022791648,-0.006271722,0.905410595,NA,0.63614874,0.211460154,0.638870459,0.638871547,1,0.76568212
ENSG00000133624.13,-0.991202355,-5.717573143,0.048061099,-0.040208378,0.058667435,0.044628831,1.51E-08,0.330061712,0.069802236,0.072945734,0.073251907,0,0.382653446
ENSG00000133619.17,-0.611148762,NA,-0.00454025,0.207121352,0.036384436,0.56084093,NA,0.92156702,0.220477847,0.597771643,0.597663166,1,0.755073779
ENSG00000181444.12,0.267009831,-5.164219422,0.076326292,-0.026435674,-0.025614957,0.369475706,5.26E-100,2.44E-05,0.160977068,0.211538166,0.215151857,0,0.569853206
ENSG00000197558.11,-0.829296697,-3.534866081,0.019418112,-0.050126726,0.032946343,0.237250311,4.59E-28,0.602778126,0.402038708,0.493661195,0.492899392,0,0.725300851
