nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000183444.10,-0.171833082,0.017223727,0.879231278,0.841071968,0.841067721,0,0.748237703
ENSG00000164715.5,0.028147598,-0.014922834,0.906208721,0.43856845,0.438530212,1,0.637729851
ENSG00000205356.9,1.68991689,-0.121052498,2.52E-07,2.22E-06,4.00E-06,0,0.000262687
ENSG00000157954.14,0.730402468,-0.026858369,0.338979998,0.65030219,0.655727382,0,0.71302385
ENSG00000164713.9,0.105059987,0.009414901,0.847190221,0.824688209,0.824635375,0,0.744621614
ENSG00000272950.1,-0.06729531,-0.004572036,0.659088066,0.700395666,0.700274007,0,0.721880026
ENSG00000242687.2,-0.080290888,-0.007588066,0.928227898,0.912582534,0.912996412,0,0.762807173
ENSG00000130429.12,-0.100221876,0.007019931,0.840446953,0.852738235,0.852736678,1,0.75110597
ENSG00000196652.11,0.597183002,-0.033420258,0.30609188,0.454652763,0.454534869,1,0.643887167
ENSG00000182095.14,0.359674745,-0.01278162,0.733194977,0.878788972,0.878778349,1,0.75800689
ENSG00000106258.13,1.419009024,-0.092525224,0.069114601,0.12733822,0.140652355,0,0.419542303
ENSG00000146833.15,-0.216701386,0.021890657,0.154059129,0.068457725,0.073818547,0,0.318361699
ENSG00000221838.9,-0.136363385,0.027409763,0.873394259,0.686673848,0.686667651,1,0.721377306
ENSG00000188186.10,1.024207566,-0.057145305,0.109800013,0.240960651,0.240956539,0,0.512178574
ENSG00000146826.16,-0.097424607,0.016995429,0.861989721,0.688720121,0.688541958,0,0.721377306
ENSG00000066923.17,-0.018805945,0.01017889,0.861946844,0.226326946,0.226266239,0,0.502945725
ENSG00000121716.20,-0.607685411,0.016008459,0.655786118,0.884502956,0.88434636,0,0.759795287
ENSG00000106330.11,-0.237973789,0.003622738,0.708372593,0.942208387,0.943442723,0,0.771526885
ENSG00000196411.9,-0.468462865,0.019963665,0.318324961,0.589460099,0.596551274,0,0.693991857
ENSG00000146828.17,-0.600587988,0.031006194,0.054956486,0.202033819,0.20370531,0,0.486738822
ENSG00000087087.18,-0.824906493,0.060506479,0.373606226,0.410978133,0.410782576,1,0.626743256
ENSG00000169871.12,0.101712219,0.007185137,0.883120091,0.895536775,0.89694316,0,0.762050191
ENSG00000106366.8,-0.132964349,0.001109503,0.734631536,0.969533409,0.969957483,0,0.774990718
ENSG00000106404.13,-0.156999599,0.010095465,0.736836869,0.785730855,0.785891262,0,0.735436774
ENSG00000239480.1,-0.045699985,0.004357108,0.779833153,0.735115649,0.737665372,0,0.726414719
ENSG00000160993.3,-0.20582521,0.005382014,0.441900264,0.795341244,0.79532909,0,0.738229024
ENSG00000005075.15,0.030697114,0.006470459,0.942177327,0.845779257,0.84592152,0,0.749070313
ENSG00000170667.14,-4.564976438,0.271024723,5.55E-15,2.13E-09,2.53E-08,0,3.79E-06
ENSG00000105808.17,0.074026062,0.004374658,0.753194356,0.812797269,0.812784892,0,0.740585217
ENSG00000230257.2,0.010753167,0.015904602,0.982493176,0.689864779,0.701668245,0,0.721880026
ENSG00000135250.16,0.049418961,-0.005569569,0.974752942,0.963911021,0.963825863,0,0.77434772
ENSG00000105851.10,0.068857319,-0.02337021,0.92909239,0.699905691,0.699112807,0,0.721750891
ENSG00000181016.9,-0.740906321,0.045627124,0.318141794,0.434836219,0.43534594,0,0.636667397
ENSG00000214194.8,0.163842036,-0.0063163,0.392022403,0.672018866,0.674112759,0,0.719577268
ENSG00000135269.17,-0.007723156,0.011112897,0.988736805,0.790998141,0.791768677,0,0.73740292
ENSG00000105971.14,-0.22498044,0.003300932,0.733588728,0.946640847,0.946764862,0,0.771526885
ENSG00000128534.7,0.924676336,-0.042926129,0.391816875,0.621919299,0.621896752,1,0.700770949
ENSG00000106034.17,0.16015134,-2.43E-05,0.260281532,0.998302198,0.998303927,0,0.779807913
ENSG00000179562.2,0.14117452,-0.016935624,0.69704203,0.554654096,0.554560477,0,0.679839928
ENSG00000128594.7,-0.524046422,0.022294286,0.192216796,0.497347288,0.497433954,1,0.659896757
ENSG00000106348.16,-0.200657136,0.008400564,0.380375522,0.646717667,0.655215311,0,0.71302385
ENSG00000135245.9,-0.548357114,0.046853488,0.785124598,0.758561496,0.75863687,0,0.731612571
ENSG00000165055.15,-0.244404681,0.010283691,0.632384597,0.796137736,0.796135853,1,0.738229024
ENSG00000273270.1,0.214538152,-0.010284025,0.048375763,0.241914165,0.241958706,0,0.513781548
ENSG00000122512.14,0.586729672,-0.034989966,0.063033863,0.152987192,0.154788351,0,0.43435164
ENSG00000243302.3,0.717634332,-0.015577053,0.066534685,0.615816875,0.615335929,0,0.697366788
ENSG00000230715.3,0.650547604,-0.059564942,0.490562577,0.423271177,0.428159145,0,0.63445293
ENSG00000229413.2,-0.273583301,0.000539412,0.595245556,0.989444,0.989423166,0,0.778196757
ENSG00000243679.1,0.189901098,-0.05086048,0.905371482,0.679472676,0.67652731,0,0.72000588
ENSG00000281490.1,-0.268587347,-0.00331251,0.484127381,0.909926315,0.910800584,0,0.762574492
ENSG00000271553.1,0.341812128,-0.005801407,0.014443119,0.595730457,0.595517177,0,0.693919199
ENSG00000205085.10,-0.960087666,0.090796962,0.031405882,0.00941459,0.010294341,0,0.098500363
ENSG00000128604.19,2.19577504,-0.194357654,0.348668249,0.272807313,0.29193649,0,0.551392958
ENSG00000275106.1,0.710247638,-0.070151192,0.425168231,0.316196577,0.322240007,0,0.572740756
ENSG00000064419.13,-0.831772115,0.051283853,0.609085538,0.674304383,0.678174384,0,0.720064903
ENSG00000158457.5,1.008440298,-0.053977112,0.001476262,0.030793057,0.031325619,0,0.205003399
ENSG00000128602.9,0.136598247,-0.000297361,0.322915806,0.978032941,0.978024731,0,0.775713489
ENSG00000106459.14,-2.126535081,0.158478388,0.08330874,0.085872883,0.099681358,0,0.359871329
ENSG00000128607.13,-0.565218223,0.038269937,0.031952552,0.066581809,0.066533009,1,0.305246519
ENSG00000158525.15,0.4043289,-0.024236975,0.637990514,0.704388489,0.704355698,1,0.721880026
ENSG00000158623.14,1.892741647,-0.3679491,0.381754374,0.029258735,0.030909085,0,0.203297375
ENSG00000226380.9,-2.127536636,0.11078591,0.031751061,0.147840461,0.157019231,0,0.437048978
ENSG00000231721.6,0.121019877,-0.003080311,0.954110005,0.986331059,0.986557875,0,0.777518177
ENSG00000178397.12,1.632346604,-0.123953911,0.573280471,0.572091048,0.574384227,0,0.687602493
ENSG00000131558.14,0.738773497,-0.078682861,0.676046076,0.549584524,0.549421346,1,0.679136704
ENSG00000085662.13,1.116376684,-0.08114569,0.281687271,0.302215921,0.314749348,0,0.567942265
ENSG00000122783.16,-0.22191331,0.039937788,0.840048367,0.630778983,0.630543014,0,0.703947047
ENSG00000146859.6,-0.184493082,0.024260872,0.743576961,0.579490381,0.605275698,0,0.694078892
ENSG00000243317.7,-0.456163041,0.029604465,0.032447095,0.078679786,0.084801899,0,0.33760949
ENSG00000164535.14,-0.35260133,0.020279213,0.215265813,0.365288945,0.377733513,0,0.607476607
ENSG00000105939.12,-1.055610913,0.065620233,0.295600545,0.411123014,0.412243754,0,0.62693616
ENSG00000105948.13,-0.795867053,0.031178553,0.000134305,0.054408322,0.055040345,0,0.271625504
ENSG00000064393.15,0.284371659,-0.045262551,0.903747694,0.804587972,0.804769932,0,0.739302203
ENSG00000059377.16,0.62946677,-0.038827007,0.255528142,0.365578262,0.365404283,1,0.600336102
ENSG00000136240.9,0.312100919,-0.013775192,0.286274712,0.539870011,0.541032348,0,0.676891517
ENSG00000006459.10,0.914637433,-0.053387902,0.202151881,0.349312393,0.349092054,1,0.58937148
ENSG00000260231.1,0.509311701,-0.023166655,0.124252023,0.370339915,0.370319369,0,0.603083889
ENSG00000157800.17,0.030720614,0.006269956,0.851577392,0.623137132,0.623225366,0,0.701258483
ENSG00000133597.10,-0.57000701,0.086568351,0.562843093,0.26429719,0.267154245,0,0.535057066
ENSG00000228775.7,-1.029990573,0.065775058,0.509476341,0.556346535,0.571017012,0,0.686531585
ENSG00000257335.8,0.47932036,-0.033084133,0.563317717,0.600115392,0.606164526,0,0.694079501
ENSG00000211714.3,-1.092986353,0.026797182,0.349697777,0.758917259,0.758250875,0,0.731612571
ENSG00000211716.2,-1.020332314,-0.016288967,0.419154391,0.864354879,0.862992189,0,0.754657376
ENSG00000276953.1,-1.684036527,0.157258871,0.443490319,0.350583797,0.348117568,0,0.588487889
ENSG00000211746.3,-1.772119234,0.093250466,0.3590996,0.521001957,0.531040846,0,0.672025493
ENSG00000211750.2,-1.325993914,0.115684954,0.059020605,0.03264392,0.033798035,0,0.212258546
ENSG00000211771.1,-1.138774707,0.090951476,0.231005678,0.225385417,0.226524679,0,0.502945725
ENSG00000127412.6,0.082584623,-0.000415826,0.754115199,0.983796572,0.983790294,0,0.776844008
ENSG00000165131.6,13.95895138,-0.831264493,0.044218102,0.099489473,0.063477222,0,0.298561833
ENSG00000146574.15,-0.628761831,0.063130885,0.47204014,0.344460163,0.344999892,0,0.58617383
ENSG00000197448.13,-0.015138103,0.008428687,0.976939835,0.837156,0.837868635,0,0.748112733
ENSG00000232533.1,-0.209521785,0.049913157,0.811779912,0.469169141,0.467096683,0,0.648446711
ENSG00000159840.15,-0.583609166,0.04111682,0.364788792,0.417807607,0.417753089,1,0.62884673
ENSG00000146904.8,0.423913055,-0.124581824,0.850632284,0.499595397,0.510982481,0,0.664388306
ENSG00000106392.10,0.791201474,-0.029289501,0.153023812,0.506105611,0.504357373,0,0.66190143
ENSG00000229153.5,-0.814232135,0.050011353,0.008565278,0.038347558,0.038979336,0,0.229046039
ENSG00000170379.19,0.824358893,-0.036644851,0.001500964,0.075700481,0.077531917,0,0.325208181
ENSG00000204947.8,-0.903734665,0.062591057,0.543784219,0.588207862,0.587858745,1,0.692109089
ENSG00000170265.11,-0.079762736,-0.00080026,0.810675625,0.974953375,0.974967941,0,0.775016583
ENSG00000181220.15,-0.102310184,0.022217729,0.884686933,0.677266671,0.682823316,0,0.720659615
ENSG00000133624.13,0.545092122,-0.041905886,0.396739329,0.416004859,0.41580533,1,0.62803699
ENSG00000181444.12,0.204705763,-0.025221981,0.776088568,0.646593937,0.646915121,0,0.709090697
ENSG00000197558.11,0.048556092,-0.012822559,0.764146579,0.322115069,0.322102801,1,0.572740756
ENSG00000106479.10,-0.962786685,0.066232786,0.021123558,0.039141204,0.039495157,0,0.230297303
ENSG00000171130.17,-0.001573575,0.005683634,0.993090708,0.69211578,0.692338384,0,0.721492421
ENSG00000127399.14,-2.294816406,0.157766581,0.511935039,0.532399192,0.545599526,0,0.678676753
ENSG00000171115.3,-0.007580294,-0.003032348,0.974408609,0.866200311,0.866265703,0,0.754657376
