nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000028839.9,-0.082193914,-4.739597131,-0.005242577,0.058640741,0.021396252,0.692735936,3.87E-08,0.940201665,0.533510815,0.677310071,0.677028346,0,0.877749631
ENSG00000118515.11,-0.04292713,-4.378370436,0.005480457,-0.146830098,-0.009723305,0.803213221,1.05E-17,0.888126666,0.16596625,0.823127458,0.823250375,0,0.899869565
ENSG00000137198.9,0.212031145,-5.738976165,0.012063255,-0.001611097,-0.021593413,2.40E-05,5.28E-150,0.278299289,0.973453646,0.075400195,0.078670518,0,0.577501336
ENSG00000112339.14,-0.015609782,NA,0.044606252,1.785990579,0.085353738,0.963563782,NA,0.85334407,0.018145704,0.179416683,0.179092322,1,0.713577194
ENSG00000029363.16,-0.148596479,-1.509916608,0.093176314,-2.696384613,-0.069340615,0.870410385,2.70E-07,0.629702176,0.173207085,0.730509996,0.729422399,0,0.887081813
ENSG00000197442.9,-0.00520441,NA,0.051501115,0.035163274,0.007298619,0.971700581,NA,0.217214111,0.048651998,0.848871189,0.848868703,1,0.899953321
ENSG00000027697.13,0.072009441,-5.983212642,-0.016390913,0.002552503,0.001939432,0.171567622,1.72E-108,0.366450006,0.841057224,0.882141891,0.882434989,0,0.903551161
ENSG00000118503.14,-0.19724941,NA,0.017575268,0.097817833,0.088563201,0.472562144,NA,0.480785093,0.176532897,0.146888247,0.146836954,1,0.680296768
ENSG00000112378.11,0.178081085,-3.218648977,-0.027583175,-0.21886581,-0.078837316,0.674129941,3.47E-14,0.661539521,0.470603498,0.431684264,0.429713466,0,0.825384536
ENSG00000051620.10,0.399950596,-4.603383501,-0.035168225,0.013015775,-0.003278527,6.83E-05,1.07E-105,0.0449357,0.583202684,0.892886312,0.893443729,0,0.904486096
ENSG00000225177.5,-0.02994856,-5.1452963,0.035384696,0.015364652,0.083070911,0.918469278,0.01928413,0.588002465,0.773333664,0.254046686,0.255635038,0,0.765708512
ENSG00000024862.17,0.159291352,-7.575020377,-0.018727226,0.01124985,-0.003737882,0.015136284,0.000140206,0.491941356,0.506181687,0.820869751,0.821162756,0,0.89959717
ENSG00000135597.18,-0.789923044,-3.721150489,0.038913343,0.049733197,0.086860003,0.002045247,5.58E-30,0.74673828,0.802509373,0.168329517,0.168889179,0,0.702939608
ENSG00000146386.7,-0.058797108,-3.861471922,-0.033430313,0.037329133,-0.086076346,0.832548545,3.57E-16,0.445824063,0.157863139,0.192612843,0.19187705,0,0.721335958
ENSG00000112406.4,-0.003184548,-9.741955687,-0.016864061,0.001767663,0.01618144,0.935097958,0.079468076,0.292313442,0.865406129,0.091555472,0.092285366,0,0.609007282
ENSG00000124788.17,0.111490825,-4.876111727,-0.018799748,0.053684809,-0.006560576,0.335293544,1.22E-26,0.487016851,0.039651086,0.819827002,0.820397901,0,0.89959717
ENSG00000164442.9,0.144870027,-5.220037796,-0.143061327,-0.01510705,-0.01119275,0.299946705,1.09E-30,0.566934556,0.76363531,0.71393127,0.715397551,0,0.884393777
ENSG00000009844.15,-1.162191597,NA,-0.126973095,-0.078947181,0.271138373,0.00097567,NA,0.115396468,0.148056144,0.002944199,0.002533091,1,0.183214295
ENSG00000010818.9,-0.257971039,NA,-0.046114492,-0.221865106,0.020771537,0.024983258,NA,0.210715401,0.021028745,0.460473368,0.460346396,1,0.834152641
ENSG00000146416.17,-0.287842388,-4.036426529,0.041804205,-0.260630211,0.067751384,0.272774869,1.15E-08,0.562284443,0.672037861,0.303387107,0.316052703,0,0.788478645
ENSG00000189007.15,-0.231009465,NA,0.017746669,-0.020056669,0.023936041,0.095909721,NA,0.561130223,0.753582657,0.466220771,0.466108533,1,0.834192361
ENSG00000001036.13,0.020818635,-6.493073437,-0.011972288,-0.014593317,0.02799026,0.675757667,5.68E-30,0.396475651,0.254850449,0.026651204,0.027088959,0,0.434755945
ENSG00000112419.14,0.119243004,-4.694655499,-0.069197806,0.069816255,-0.00721035,0.484728067,1.17E-08,0.137673113,0.797410375,0.88620142,0.887049643,0,0.903659325
ENSG00000135521.8,0.275903285,-6.374803906,-0.057717021,0.330729463,-0.060931809,0.462568744,0.380835383,0.385447503,0.147899166,0.524924811,0.526666085,0,0.853285499
ENSG00000118495.18,1.497431744,-2.902884992,-0.105655597,1.447257162,-0.439399078,0.036358283,1.28E-09,0.656720672,0.357624242,0.002033633,0.002946325,0,0.197421625
ENSG00000135604.9,-0.127522956,-5.430665295,0.002262542,-0.020295506,0.035028751,0.237847097,1.25E-34,0.908012261,0.22705248,0.199322556,0.20073568,0,0.727041636
