nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000047579.19,-0.576439395,NA,-0.043686881,0.10939019,0.015232346,0.429125328,NA,0.063003656,0.149759083,0.632229195,0.632219061,1,0.655501649
ENSG00000172594.12,2.701939076,-2.774371664,0.091421418,-0.022126992,-0.098435429,0.09766869,3.77E-33,0.291905663,0.748528158,0.175639302,0.176614562,0,0.436793717
ENSG00000146373.16,-1.375252576,NA,-0.090607244,-0.243897052,0.061922225,0.522689782,NA,0.301445739,0.463983966,0.50531441,0.505125571,1,0.615585928
ENSG00000111906.17,-0.965018425,-4.412956857,0.021764476,0.348344504,0.065970425,0.869219922,0.011874816,0.817617813,0.304453193,0.792617018,0.808016881,0,0.69987009
ENSG00000111912.19,0.63293625,-4.297892588,0.067722979,0.002071952,-0.015934602,0.691209812,5.89E-06,0.293310982,0.996419025,0.817847542,0.818323319,0,0.702807312
ENSG00000111911.6,-0.143149783,-4.176184811,0.005758983,0.09476608,0.009890555,0.900485954,7.21E-19,0.910525716,0.824793742,0.844888357,0.845150601,0,0.706598037
ENSG00000203760.8,-1.555015721,-4.710717342,-0.593895676,-0.507391085,0.085980448,0.567429845,0.032521165,0.829316978,0.731920077,0.456950583,0.460714473,0,0.600859679
ENSG00000007944.14,-0.230185132,-7.648780639,0.009281776,0.005246864,0.014224458,0.365477457,8.64E-11,0.61221522,0.78073449,0.208336621,0.211152995,0,0.467573845
ENSG00000093144.18,1.505698449,-9.399170864,0.004444734,-0.02485142,-0.060005313,0.004248474,0.723563203,0.836903644,0.611076827,0.010599787,0.011745609,0,0.116372446
ENSG00000172673.10,2.923583792,NA,-0.015565363,-0.028390459,-0.116870792,0.044445484,NA,0.741881745,0.739608222,0.058182136,0.057760243,1,0.273011957
ENSG00000146376.10,-3.787571869,NA,0.065772048,0.050199127,0.179268896,0.089681092,NA,0.334927154,0.34356807,0.069490015,0.067555702,1,0.294572761
ENSG00000198945.7,0.391202663,-4.2908948,0.011149925,0.105776177,0.00694298,0.690975095,4.46E-20,0.888451028,0.129689508,0.872686978,0.872569437,0,0.712322858
ENSG00000164483.16,-0.805689343,-4.251948057,0.073876864,0.864989658,0.0271863,0.715972389,2.44E-07,0.648709092,0.345383551,0.777746261,0.777513929,0,0.6941232
ENSG00000079819.18,1.833494681,NA,0.031074536,-0.233820756,-0.070970082,0.246282886,NA,0.509563815,0.268686371,0.302723457,0.302084286,1,0.531023024
ENSG00000118520.14,3.676516902,-3.748483749,-0.044448716,0.173267357,-0.12687333,0.0042401,6.22E-30,0.606161651,0.299782153,0.025501716,0.026814138,0,0.189265929
ENSG00000112282.17,-1.572889546,-6.574451294,-0.149301383,0.192458062,0.084346368,0.325192072,0.413415709,0.358399933,0.372994211,0.227580191,0.248497193,0,0.497829848
ENSG00000079950.13,0.503679906,-5.668016183,-0.089830474,0.0687282,-0.031787755,0.319207375,1.67E-32,2.75E-05,0.521812915,0.15575865,0.159504003,0,0.422662945
ENSG00000112299.7,-1.162351021,-2.862807087,-0.14994185,-0.009197002,0.019974644,0.081892508,1.19E-250,1.59E-08,0.819543454,0.500558788,0.503428141,0,0.614814774
ENSG00000093134.14,0.552185093,-4.116135311,0.080164825,0.005068062,0.001573765,0.186401712,0,7.10E-06,0.775203293,0.932639013,0.932664542,0,0.724213454
ENSG00000112303.13,3.811776719,-3.220209945,0.133782233,0.019483403,-0.146449893,6.55E-12,0,1.11E-09,0.413129761,2.89E-09,7.37E-09,0,1.80E-06
ENSG00000234484.1,1.403464521,-3.182233966,0.08335884,-0.008196095,-0.094160277,0.317452708,2.42E-32,0.178258363,0.878691218,0.133063201,0.136389555,0,0.396749992
ENSG00000146409.10,3.800602481,NA,-0.027159774,0.478915079,-0.116653479,0.260474352,NA,0.834129253,0.324157995,0.426634295,0.427327754,1,0.589963071
ENSG00000112306.7,0.197204426,-7.277944666,-0.014431066,0.005771548,-0.007961561,0.029236882,0,0.000846337,0.219420552,0.047042044,0.04757293,0,0.248298032
ENSG00000028839.9,-1.27496012,-4.805765079,-0.009108268,0.078531807,0.056542897,0.393902438,1.08E-07,0.895267003,0.40293067,0.393360178,0.394693654,0,0.576719013
ENSG00000118515.11,-2.151619402,-4.565679334,0.005745613,-0.140235942,0.091211797,0.060988967,6.98E-16,0.875722315,0.173087592,0.07109476,0.074177124,0,0.306909425
ENSG00000137198.9,0.825634227,-5.760050721,0.011337778,-0.005411718,-0.031102561,0.002124979,2.07E-148,0.304169056,0.910612646,0.009197035,0.009883214,0,0.105274019
ENSG00000112339.14,1.805296955,NA,0.01844575,2.123936745,-0.063112032,0.219242396,NA,0.938832959,0.002914851,0.330964444,0.330561045,1,0.547770629
ENSG00000029363.16,0.945440643,-1.500983467,0.111218038,-2.640521342,-0.058699819,0.792908514,3.06E-07,0.573787099,0.181683569,0.701237367,0.702139819,0,0.676833359
